listing_id,year,make,model,trim,title,description,photo_url,price_aed,mileage_km,body_type,transmission,fuel_type
62,2010,ford,explorer,xlt,FORD EXPLORER XLT - 2010 - CLEAN CAR FRESH JAPAN IMPORT,"* Ford Explorer XLT * Year Of the Model - 2010 * Interior Black * Low Mileage * Japan Imported * Recently Arrived * Neat & Clean Car ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Follow Us On Instagram For More Luxury Cars, Just Click on the Link. https://instagram.com/mirzaautomobilefze?utm_medium=copy_link ••••••••••••••••••••••••••••••••••••••••••••••••••••••• We have Direct access more then 160 Auctions in Japan. We can buy any type or any Model of the car by your Special Order, So if you are Looking for Any type of the Car, Contact with Us or visit Our Showroom Mirza Automobile FZE, ••••••••••••••••••••••••••••••••••••••••••••••••••••••• About Us : A name you can trust, Welcome to Mirza Automobile FZE, We've been in the auto industry for 16 years in UAE, and 30 years in Japan. ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Contact us : ( Mob / Whatsapp ) • Mr Faisal : +971 54 306 9554 * Mirza Faizan Baig : +971 50 8685237 ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Our Service : ( VIP ) * Flexible finance and insurance options . * Expert sales and after-sales support . * Car registration assistance . ( Insurance - Registration ) . * Export deals and services available . * we can deliver the car to any where on U.A.E ••••••••••••••••••••••••",https://dbz-images.dubizzle.com/images/2024/11/20/79b7bd9e68034b97a411aa02e204b3c1-.jpeg?impolicy=dpv,,,,,
63,2017,mini,countryman,john cooper works,UNIQUE Mini COUNTRYMAN JOINS COOPER WORKS || ACCIDENT FREE || GCC || PANORAMIC ROOF,"ALHOOT MOTORS DEALS WITH GCC CARS ONLY! Trusted CARS dealership in the UAE. ""Customer first"" approach before, during and after sale Inclusive • 1 Free Service • 1 Detailing & Car Care • 1 Year Free Insurance (FOR CASH DEALS ONLY) Best MINI COUNTRYMAN in UAE - Highest Category - Recently Serviced - Mechanical Issue Free - 4 New Condition Tires - Original Keys - GCC - Full Service - Guaranteed Accident Free - Clean & Neat Inside/Outside - Single Owner - Major Service Done ----------------------------------------------- We are Open Saturday to Thursday from 9:00am to 10pm | Friday from 4:00pm to 10pm ----------------------------------------------- For more details, please contact us directly +971561800013 ----------------------------------------------- Address: Souq Al Haraj, Showroom 58, Along Mohammad Bin Zayed Road, Sharjah, United Arab Emirates Find us on Google Maps ""ALHOOT MOTORS"" https://maps.app.goo.gl/9DwNFydePrRXmt7b6 ----------------------------------------------- Selling Your Car to Us: We accept GCC cars for trade in, our team will be more than happy to help. ----------------------------------------------- Follow us on our Social Media Pages ‎الحوت موتورز - ALHoot Motors https://shorturl.at/JLPX7 Instagram: @alhoot.motors https://shorturl.at/bLQS4 Tiktok: @alhoot.motors https://shorturl.at/exL35 ----------------------------------------------- We do Bank Finance also - Employed - Self-Employed - Company ----------------------------------------------- ""DON'T DREAM IT, DRIVE IT with ALHOOT MOTORS""",https://dbz-images.dubizzle.com/images/2025/01/03/c622b7ae427842199a01da4427fa9ba1-.jpeg?impolicy=dpv,,,,,
64,2014,audi,q7,55 tfsi quattro s line,SUPERCHARGED AUDI Q7 V6 / 7 SEATS / GCC SPECS / AFFORDABLE / FUEL EFFICIENT / EXCELLENT CONDITION,*LIMITED AUDI Q7 4.0 V6 *SUPERCHARGED *QUATTRO * S-LINE *TOP OF THE RANGE * GCC BLIND SPOT 7 SEATS BEST KIT EVER CAME IN AUDI Q7 AWESOME WHITE COLOR AUDI Q7 V6 GCC ! SUPERCHARGED QUATTRO S-LINE COOLING AND HEATING SEATS !! SEXY AND AMAZING RIMS PANORAMIC ROOF KEYLESS START AND KEYLESS ENTRY BLIND SPOT !!!!!!!! 7 SEATS AWESOME WHITE COLOR !!! CLEANEST AUDI Q7 V6 IN UAE VERY NEAT INSIDE AND OUTSIDE NEVER BEEN RESPRAYED BEFORE NEVER HAD ANY MECHANICAL PROBLEMS SERVICED ON TIME 2 ORIGINAL KEYS FRANKLY THIS IS THE BEST AUDI Q7 V6 SUPERCHARGED IN UAE JUST SERVICED FEW WEEKS AGO AND DOESNT NEED SINGLE DIRHAM TO SPEND ON IT ALWAYS PARKED UNDER COVERED PARKING !! NO SMOKERS OR KIDS INSIDE THE CAR,https://dbz-images.dubizzle.com/images/2025/01/11/26f63346c6704e42976ac0ded14a803e-.jpeg?impolicy=dpv,,,,,
65,2021,dodge,challenger,sxt,Dodge Challenger 2021/Warranty,Dodge Challenger 2021 71000 KM Warranty SXT,https://dbz-images.dubizzle.com/images/2025/01/17/cf128a7cdc3446a983cbda0fa583c4ef-.jpeg?impolicy=dpv,,71000.0,,,
66,2024,opel,grandland x,other,GCC | Brand New | AED 1300 monthly | Under Agancy Warranty 5 Years | Ref#R000413,"Opel Grandland Ultimate Model: 2024 Odometer : 0 KM Brand New Warranty : Under Agancy Warranty 5 Years Specification : GCC Cylinders : V4 1.6L ------------------ Our flexible payment plans are bank auto loans. Option 1 - AED 1650 monthly for 5 years with 0% Down-Payment / flexible. Option 2 - AED 1300 monthly for 5 years with 20% Down-Payment / flexible. Option 3 - AED 79,999 cash. And First Installment After 3 Month. ------------------ Contact us for more information, And to schedule a test drive: •.Aida (+971) 0542222307 ( English & Arabic) Wer'e Located at AL WAHADA ST. NEXT OF KING FAISAL BRIDGE, Souq Al Haraj in Sharjah, Mohammed Bin Zayed Road, behind Tasjeel ‎Village.‎ Showroom NO: #10 , #41 , #146 And #245 ------------------ Showrooms Timing :‎ • Sat-Thur : 10:00 AM TO 10:00 PM‎ • FRI : 4:00 PM TO 10:00 PM -------------------- A name you can trust, Welcome to Al Qassem Group Showrooms, We've been in the auto industry for 23 ‎years in UAE, 15 years in Jordan, And more than 30 years in Iraq. We won the Dubizzle (Legend) Sharjah showroom of the year 2022 And 2023 And multiple of Top seller of the month by Dubizzle ----------------- Follow Us on: Website : https://alqassimgroup.net/ Facebook : Al Qassem Group Instagram : Alqassem_group_luxury_cars Snapchat: alqassem-group TikTok : alqassemgroup -------------------- Our Service : ( VIP ) • Flexible finance and insurance options . • Expert sales and after-sales support . • Car registration assistance . ( Insurance - Examination - Registration ) . • Export deals and services available . • we can deliver the car to any where on UAE ------------------ What we offer : ( Easy Financing ) • Buy your car from al qassem group without down payment, The first installment after 3 Months. • Approved bank finance Available. • Excellent services 24 hours a day",https://dbz-images.dubizzle.com/images/2025/01/30/ecc1c029456a444abbe4d5a1ab35c4e7-.jpeg?impolicy=dpv,79999.0,0.0,,,
67,2022,nissan,patrol safari,super safari,نيسان باترول سوبر سفاري 2022,نيسان باترول سوبر سفاري 2022,https://dbz-images.dubizzle.com/images/2025/02/14/dd67038e513c48bb938a04a003b8cd5b-.jpeg?impolicy=dpv,,,,,
68,2023,lexus,lx-series,lx 600 f sport,**Special offer** LX600 P 3.5L T AT F Sport,"Lexus Pre-Owned - Al-Futtaim Motors offers; 2023 LX SUV P 3.5L T AT F Sport **SPECIAL OFFER QUOTE DUBIZZLE ** 2 years Free servicing (up to 30,000 km*) Free vehicle registration - Mileage 34,927 KM - Lexus Warranty with all Al Futtaim Pre-Owned vehicles - Lexus Service History - Excellent Condition - GCC Specs -------------------------------------------------------- 100% Finance options and Flexible terms available. T&C’s apply --------------------------------------------------------- For more details, please contact us. --------------------------------------------------------- Opening Hours: Mon - Fri 9 AM to 8 PM Saturday 9 AM to 6 PM Sunday 11 AM to 6 PM ---------------------------------------------------------- Lexus Pre-Owned backed by Al-Futtaim Motors offer Premium Certified vehicles with full 99-point safety check and manufacturer warranty. • We accept all types of Cars for Trade-In • We buy any car for Cash • 24-hour roadside assistance* • Finance service options Own a similar vehicle? Contact us today for a competitive direct purchase or trade-in valuation. ----------------------------------------------------------- Website: https://www.lexus.ae/en/pre-owned/",https://dbz-images.dubizzle.com/images/2025/02/21/bba2da5afd4a45bfba5f709ec00b182d-.jpeg?impolicy=dpv,,34927.0,suv,automatic,
69,2008,mitsubishi,pajero,glx,Mitubshi pajero 2008 white color GCC calen car,pajero 2008 white color GCC calen car,https://dbz-images.dubizzle.com/images/2023/05/21/f9de9f62438f47d285109f9cf05aefca-.jpeg?impolicy=dpv,,,,,
70,2013,mercedes-benz,glk-class,glk 350 4matic,MERCEDES BENZ GLK350 - 2013 - CLEAN CAR FRESH JAPAN IMPORT,"• Mercedes Benz GLK350 • Year Of the Model - 2013 • Interior Black • Low Mileage • Japan Imported • Recently Arrived • Neat & Clean Car ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Follow Us On Instagram For More Luxury Cars, Just Click on the Link. https://instagram.com/mirzaautomobilefze?utm_medium=copy_link ••••••••••••••••••••••••••••••••••••••••••••••••••••••• We have Direct access more then 160 Auctions in Japan. We can buy any type or any Model of the car by your Special Order, So if you are Looking for Any type of the Car, Contact with Us or visit Our Showroom Mirza Automobile FZE, ••••••••••••••••••••••••••••••••••••••••••••••••••••••• About Us : A name you can trust, Welcome to Mirza Automobile FZE, We've been in the auto industry for 16 years in UAE, and 30 years in Japan. ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Contact us : ( Mob / Whatsapp ) • Mirza Faizan Baig : +971 50 8685237 • M,FAISAL : +971 54 3069554 ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Our Service : ( VIP ) • Flexible finance and insurance options . • Expert sales and after-sales support . • Car registration assistance . ( Insurance - Registration ) . • Export deals and services available . • we can deliver the car to any where on U.A.E ••••••••••••••",https://dbz-images.dubizzle.com/images/2024/01/24/d5ea2664c2ee4a67abb171870b1f01e5-.jpeg?impolicy=dpv,,,,,
71,2022,lincoln,aviator,presidential,With Agency Warranty/Service Package - 2022 Lincoln Aviator Presidential GCC,"- Lincoln Aviator Presidential 2022 - GCC Specs - 71000 km - 3.0L Turbocharged V6 - Grey Exterior with Tan Leather Interior - Agency warranty and service package until January 2027 Do not hesitate to call us for any info! • Saif (- English - عربي ): +971526004902 • Dhinakar (Tamil - Hindi - English): +971525368168 • Attia (عربي - English): +971525384938 • Amer (عربي - English): +971525390890 We also provide: - Car Financing, Buying and trading. - Car insurance - Worldwide export - Window Tint - Ceramic Coat & Detailing Our showroom is open all week long from 9.00am to 8.00pm Oasis Cars, Showroom 244, Dubai Auto Zone, DUCAMZ - Ras Al Khor - Dubai https://goo.gl/maps/mscP8HEQsjNVayuJ8",https://dbz-images.dubizzle.com/images/2024/04/28/2f9e86b757df4581ac63f2cb7bdafb79-.jpeg?impolicy=dpv,,71000.0,,,
72,2019,mercedes-benz,c-class,c63 s amg,Mercedes C63s AMG 2019 JAPANESE SPECS,Mileage - 13000 KM Grade - 4.5 B +971568992992 Japanese Specs Fresh Import Clean Title Scratch Less Car No Paint No Accident Low Mileage White/Black Interior Panoramic Sunroof V8 BITURBO 4.0 503 HP Lane Assist Radar Adaptive Cruise Control 64 Colour Ambient lights Brumester Surround Sound System,https://dbz-images.dubizzle.com/images/2024/05/18/86b7f5a8b4d54481a03197229dabd0ad-.heic?impolicy=dpv,,13000.0,,,
73,2017,rolls-royce,wraith,standard,"2017 | ROLLS ROYCE WRAITH | 3 BUTTONS | STAR LIGHT | 45,000KM | GCC","2017 | ROLLS ROYCE WRAITH | 3 BUTTONS | STAR LIGHT | 45,000KM | GCC CAR RECENT SERVICE DONE FROM ROLLS ROYCE CAR HAS 4 BRAND NEW TYRES About us: Welcome to Al Qalam Motors! Our showroom is located in the heart of Dubai’s automobile trading, Sheikh Zayed road . At Al Qalam Motors we hold a distinguished inventory of the leading luxury and super sports cars as well as UAE’s favorite brands and models. Please feel free to stop by our showroom any time to speak to one of our experienced sales representatives, or check our up to date inventory online. Selling your car? Are you looking to sell your car, or trade it in for something new? Please don’t hesitate to contact us Our Services : -Trade in your car- RTA approved – A warranty can be arranged – A service contract can be arranged – Finance can be arranged - Insurance can be arranged Al Qalam Motors l QMotors ""Your Destination to True Luxury • Luxurious Automative Wholesaler • Specialized in New and Pre-owned Luxury Cars • Buy, Sell, and Trade-In"" About us: Welcome to Al Qalam Motors! Our showroom is located in the heart of Dubai’s automobile trading, Sheikh Zayed road . At Al Qalam Motors we hold a distinguished inventory of the leading luxury and super sports cars as well as UAE’s favorite brands and models. Please feel free to stop by our showroom any time to speak to one of our experienced sales representatives, or check our up to date inventory online. Selling your car? Are you looking to sell your car, or trade it in for something new? Please don’t hesitate to contact us Our Services : -Trade in your car- RTA approved – A warranty can be arranged – A service contract can be arranged – Finance can be arranged - Insurance can be arranged Al Qalam Motors l QMotors ""Your Destination to True Luxury • Luxurious Automative Wholesaler • Specialized in New and Pre-owned Luxury Cars • Buy,",https://dbz-images.dubizzle.com/images/2024/08/03/1a081990c0cb45ce9a2bf64abfbaca0b-.jpeg?impolicy=dpv,,45000.0,,,
74,2008,rolls-royce,phantom,drophead,PHANTOM DROPHEAD | TWO TONE EXTERIOR | LOW MILEAGES | WARRANTY DEC 2026,"Feel free to contact us for more information. Come visit our new location at ***EXOTIC CARS SHOWROOM MSM 1 Building Al Safa First, Sheikh Zayed Road, Dubai We have an inventory of over 400 luxury and supercars for sale in Dubai. Visit our website to view our full inventory: http://www.exoticcars.ae Like & Follow Us instagram/exoticcarsdubai",https://dbz-images.dubizzle.com/images/2024/08/07/25a38f600f874a5d82ad60dd91bf650a-.jpeg?impolicy=dpv,,,,,
75,2015,jeep,wrangler,sahara,2015 wrangler sahara GCC,"2015 Jeep Wrangler Sahara is a mid-tier trim of the iconic Wrangler series, known for its rugged off-road capability combined with a higher level of comfort and convenience features compared to the base model. It's a great option for those looking for a vehicle that can handle both trailblazing adventures and daily commuting. Key Features and Specifications: Engine and Performance: • Engine: 3.6-liter V6 engine (Pentastar) producing 285 horsepower and 260 lb-ft of torque. • Standard Safety: • Dual front airbags, side-curtain airbags, and stability control. • Anti-lock braking system (ABS) and traction control. Plz call for more info",https://dbz-images.dubizzle.com/images/2024/08/21/884226b2f40c4c0eb8e7c82ff7074812-.jpeg?impolicy=dpv,,,,,
76,2021,toyota,highlander,other,Toyota Highlander hybrid 2021 full options very clean car outside and inside for more information pl,Toyota Highlander hybrid 2021 full options very clean car outside and inside for more information please contact on WhatsApp 00971554224806,https://dbz-images.dubizzle.com/images/2024/10/09/45b7a53eaac84a4eb766125068e3e933-.jpeg?impolicy=dpv,,,,,hybrid
77,2019,audi,a5,other,Audi A5 - V4 - Quottro - 2019,Audi A5 Usa Specification 98000 km Clean car Sunroof Digital kilometer meter Reverse camera Parking sensor V4 For more details please call or whatsapp on 0557881019,https://dbz-images.dubizzle.com/images/2024/10/10/dfb53de3d5fe481d84b809b6628405f2-.jpeg?impolicy=dpv,,98000.0,,,
78,2020,nissan,versa,sr,NISSAN - VERSA - SR,قابلية الاقساط داخل المعرض مع دفعة عشرة الاف,https://dbz-images.dubizzle.com/images/2024/10/12/8149e96c500a46f3b8ae6faa61f1f595-.jpeg?impolicy=dpv,,,,,
79,2004,bentley,continental,other,2004 Bentley Continental GT 6.0L W12 || FULL SERVICE HISTORY ||Accident free ||pristine condition,"2004 Bentley Continental GT W12 cylinder-6.0L GCC SPECS Very Clean Car 73000kms , low mileage Accident free Full agency services at Bentley last major service done at agency cost 85k all what needed changed ( new suspensions included ) well maintained very clean car ( all services done on time ) Brand new tyres nothing need to spend",https://dbz-images.dubizzle.com/images/2024/11/07/4d2f8fb725804a9f9484452a4f4b6874-.jpeg?impolicy=dpv,,73000.0,,,
80,2024,volkswagen,golf,gti,"VOLKSWAGEN GOLF GTI GRAY COLOR MODEL 2024 11,000 KM GCC WARRANTY AVAILABLE","VOLKSWAGEN GOLF GTI GRAY COLOR MODEL 2024 11,000 KM GCC WARRANTY AVAILABLE",https://dbz-images.dubizzle.com/images/2024/11/12/f0b90a5f87a14c55a6425e0a537e328c-.jpeg?impolicy=dpv,,11000.0,,,
81,2006,bentley,continental,flying spur,BENTLEY FLYINGSPUR | 2006 | CLEAN CAR | FRESH JAPAN IMPORT,"• Bentley Continental Flying Spur • Year Of the Model - 2006 • Black Interior • Low Mileage • Japan Imported • Recently Arrived • Neat & Clean Car ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Follow Us On Instagram For More Luxury Cars, Just Click on the Link. https://instagram.com/mirzaautomobilefze?utm_medium=copy_link ••••••••••••••••••••••••••••••••••••••••••••••••••••••• We have Direct access more then 160 Auctions in Japan. We can buy any type or any Model of the car by your Special Order, So if you are Looking for Any type of the Car, Contact with Us or visit Our Showroom Mirza Automobile FZE, ••••••••••••••••••••••••••••••••••••••••••••••••••••••• About Us : A name you can trust, Welcome to Mirza Automobile FZE, We've been in the auto industry for 16 years in UAE, and 30 years in Japan. ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Contact us : ( Mob / Whatsapp ) • Mr Faisal : +971 54 3069554 • Mirza Faizan Baig : +971 50 8685237 ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Our Service : ( VIP ) • Insurance options . • Expert sales and after-sales support . • Car registration assistance . ( Insurance - Registration ) . • Export deals and services available . • we can deliver the car to any where on U.A.E ••••••••••••••",https://dbz-images.dubizzle.com/images/2024/11/21/6aafb23ba87341ab87ccecf9b6b33082-.jpeg?impolicy=dpv,,,,,
82,2019,rolls-royce,dawn,other,"ROLLS ROYCE DAWN BLACK BADGE, 2019, GCC, DEALER WARRANTY, EXCELLENT CONDITION","ROLLS ROYCE DAWN BLACK BADGE, 2019, GCC, DEALER WARRANTY, DEALER FULL SERVICE HISTORY, EXCELLENT CONDITION, SPECIAL ORDERED",https://dbz-images.dubizzle.com/images/2023/01/21/1720bb2fd3d44ef486b56b1ace2743da-.jpeg?impolicy=dpv,,,,,
83,2018,mercedes-benz,s-class,s 63 amg,BENZ S63s AMG - 2018 - 6 BUTTONS - CLEAN CAR FRESH JAPAN IMPORT,"• Mercedes Benz S63s 4Matic Plus • Year Of the Model - 2018 • AMG Fully Loaded • Black Interior • Dynamic Seats • Cooling Seats • Low Mileage • Japan Imported • Recently Arrived • Neat & Clean Car ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Follow Us On Instagram For More Luxury Cars, Just Click on the Link. https://instagram.com/mirzaautomobilefze?utm_medium=copy_link ••••••••••••••••••••••••••••••••••••••••••••••••••••••• We have Direct access more then 160 Auctions in Japan. We can buy any type or any Model of the car by your Special Order, So if you are Looking for Any type of the Car, Contact with Us or visit Our Showroom Mirza Automobile FZE, ••••••••••••••••••••••••••••••••••••••••••••••••••••••• About Us : A name you can trust, Welcome to Mirza Automobile FZE, We've been in the auto industry for 16 years in UAE, and 30 years in Japan. ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Contact us : ( Mob / Whatsapp ) • Mirza Faizan Baig : +971 50 8685237 • Ayaz Wazir : +971 54 3069550 ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Our Service : ( VIP ) • Flexible finance and insurance options . • Expert sales and after-sales support . • Car registration assistance . ( Insurance - Registration ) . • Export deals and services available . • we can deliver t",https://dbz-images.dubizzle.com/images/2024/05/03/3a28e659da8145d2893b9e696eaaa122-.jpeg?impolicy=dpv,,,,,
84,2024,genesis,g90,other,2024 GENSIS G90 Brand NEW GCC LWB LIMITED EDITION ( 1 OF 1) With Warranty + Service,"2024 Gensis G90 Brand new Limited Edition 1 OF 1 GCC With warranty + Service About us: Welcome to Al Qalam Motors! Our showroom is located in the heart of Dubai’s automobile trading, Sheikh Zayed road . At Al Qalam Motors we hold a distinguished inventory of the leading luxury and super sports cars as well as UAE’s favorite brands and models. Please feel free to stop by our showroom any time to speak to one of our experienced sales representatives, or check our up to date inventory online. Selling your car? Are you looking to sell your car, or trade it in for something new? Please don’t hesitate to contact us Our Services : -Trade in your car- RTA approved – A warranty can be arranged – A service contract can be arranged – Finance can be arranged - Insurance can be arranged Al Qalam Motors l QMotors ""Your Destination to True Luxury • Luxurious Automative Wholesaler • Specialized in New and Pre-owned Luxury Cars • Buy, Sell, and Trade-In""",https://dbz-images.dubizzle.com/images/2024/05/29/994984210ed846af9c0bd920e8ed1635-.jpeg?impolicy=dpv,,,,,
85,2021,mercedes-benz,amg,gt,2021 MERCEDES BRABUS ROCKET 900 1 OF 10 / LOW MILEAGE / BURMESTER SOUND,"REF NUMBER: 12539 THE ELITE CARS - THE TRUE DEFINITION OF LUXURY The Elite Cars, a subsidiary of Elite Group Holding, is a leading multi-brand dealership specializing in luxury automotive marques, offering an exceptional and seamless automotive experience. With headquarters in Dubai, UAE, The Elite Cars’ presence extends strategically across the region, ensuring accessibility and convenience for their valued clients. THE ELITE CARS PRIVILEGES: · Proven expertise in automotive industry · Exclusive Partnership with multi-brands · After sales facility all over the emirate · With thousands of customer's positive google ratings · Competitive Finance options available · Warranty & Service Contract available · Trade-in and direct purchase available · Roadside assistance included (T&C’s apply) Our dedicated team of specialists are happy to help you find the best suited vehicle for you. The Elite Cars Phone Number: 800-535483 or +97143212290(Dubai), +97126266221(Abu Dhabi) Website: https://www.theelitecars.com",https://dbz-images.dubizzle.com/images/2024/06/27/d50a4661b2de48bbbe45633c22666d09-.jpeg?impolicy=dpv,,,,,
86,2024,lamborghini,revuelto,other,2024 LAMBORGHINI REVUELTO BRAND NEW ( FREE SERVICE CONTRACT ),"2024 LAMBORGHINI REVUELTO BRAND NEW ( FREE SERVICE CONTRACT ) CAR FILE IS OPEN IN THE DEALER & CAR HAS 3 FREE SERVICES Together, the slimmed-down V12 and electric drive units afford the Revuelto a blistering total power output of 1,001 bhp. Top speed is 217 mph; 0-to-62 takes just 2.5 seconds. Put your foot down, and breathtaking performance is unleashed. About us: Welcome to Al Qalam Motors! Our showroom is located in the heart of Dubai’s automobile trading, Sheikh Zayed road . At Al Qalam Motors we hold a distinguished inventory of the leading luxury and super sports cars as well as UAE’s favorite brands and models. Please feel free to stop by our showroom any time to speak to one of our experienced sales representatives, or check our up to date inventory online. Selling your car? Are you looking to sell your car, or trade it in for something new? Please don’t hesitate to contact us Our Services : -Trade in your car- RTA approved – A warranty can be arranged – A service contract can be arranged – Finance can be arranged - Insurance can be arranged Al Qalam Motors l QMotors ""Your Destination to True Luxury • Luxurious Automative Wholesaler • Specialized in New and Pre-owned Luxury Cars • Buy, Sell, and Trade-In""",https://dbz-images.dubizzle.com/images/2024/07/27/3cd2836941024cd29011ac367fecaca0-.jpeg?impolicy=dpv,,,,,
87,2020,kia,sportage,other,Panoramic roof - Original airbags - Full option with leather seats,2020 Chassis number: KNDP63AC9L7790787 Full Option leather Seats Panoramic roof Screen with revere camera Excellent condition Original air bags original Chassis condition ( No repair),https://dbz-images.dubizzle.com/images/2024/12/26/d8be123de4be46d6b31fe91c57eb0855-.jpeg?impolicy=dpv,,,,,
88,2023,hyundai,genesis,other,"Genesis G80 | 1,850 AED Monthly | 2 Years Warranty | Free Insurance + Registration Ref#U181059","Hyundai Genesis G80 Model : 2023 Odometer : 15,858 Kms Warranty : 3rd Party (2 Years) Specification : Korean Cylinders : V6 3.0L ------------------ Our flexible payment plans are bank auto loans. Option 1 - AED 2,300 monthly for 5 years with 0% Down-Payment / flexible. Option 2 - AED 1,850 monthly for 5 years with 20% Down-Payment / flexible. Option 3 - AED 115,000 cash. And First Installment After 3 Month. ------------------ Contact us for more information, And to schedule a test drive: • (+971) 0542211117 ( English & Arabic) Wer'e Located at AL WAHADA ST. NEXT OF KING FAISAL BRIDGE, Souq Al Haraj in Sharjah, Mohammed Bin Zayed Road, behind Tasjeel ‎Village.‎ Showroom NO: #10 , #41 , #146 And #245 ------------------ Showrooms Timing :‎ • Sat-Thur : 10:00 AM TO 10:00 PM‎ • FRI : 4:00 PM TO 10:00 PM -------------------- A name you can trust, Welcome to Al Qassem Group Showrooms, We've been in the auto industry for 23 ‎years in UAE, 15 years in Jordan, And more than 30 years in Iraq. We won the Dubizzle (Legend) Sharjah showroom of the year 2022 And 2023 And multiple of Top seller of the month by Dubizzle ----------------- Follow Us on: Facebook : Al Qassem Group Instagram : Alqassem_group_luxury_cars Snapchat: alqassem-group TikTok : alqassemgroup -------------------- Our Service : ( VIP ) • Flexible finance and insurance options . • Expert sales and after-sales support . • Car registration assistance . ( Insurance - Examination - Registration ) . • Export deals and services available . • we can deliver the car to any where on UAE ------------------ What we offer : ( Easy Financing ) • Buy your car from al qassem group without down payment, The first installment after 3 Months. • Approved bank finance Available. • Excellent services 24 hours a day. ------------------ Employed : • Salary",https://dbz-images.dubizzle.com/images/2025/01/13/0127c2c052b34e669d9053dd95b6b27e-.jpeg?impolicy=dpv,115000.0,15858.0,,,
89,2022,mini,cooper,john cooper works,CONVERTIBLE MINI COOPER JCW || STYLISH CAR II AWESOME COLOR I| EXCEPTIONAL PERFORMANCE,"ALHOOT MOTORS DEALS WITH GCC CARS ONLY! Trusted CARS dealership in the UAE. ""Customer first"" approach before, during and after sale Inclusive • 1 Free Service • 1 Detailing & Car Care • 1 Year Free Insurance (FOR CASH DEALS ONLY) Best MINI COOPER JCW in UAE - Highest Category - Recently Serviced - Mechanical Issue Free - 4 New Condition Tires - Original Keys - Full Service - Guaranteed Accident Free - Clean & Neat Inside/Outside - Single Owner - Major Service Done ----------------------------------------------- We are Open Saturday to Thursday from 9:00am to 10pm | Friday from 4:00pm to 10pm ----------------------------------------------- For more details, please contact directly +971561800013 ----------------------------------------------- Address: Souq Al Haraj, Showroom 58, Along Mohammad Bin Zayed Road, Sharjah, United Arab Emirates Find us on Google Maps ""ALHOOT MOTORS"" https://maps.app.goo.gl/9DwNFydePrRXmt7b6 ----------------------------------------------- Selling Your Car to Us: We accept GCC cars for trade in, our team will be more than happy to help. ----------------------------------------------- Follow us on our Social Media Pages ‎الحوت موتورز - ALHoot Motors https://shorturl.at/JLPX7 Instagram: @alhoot.motors https://shorturl.at/bLQS4 Tiktok: @alhoot.motors https://shorturl.at/exL35 ----------------------------------------------- We do Bank Finance also - Employed - Self-Employed - Company ----------------------------------------------- ""DON'T DREAM IT, DRIVE IT with ALHOOT MOTORS""",https://dbz-images.dubizzle.com/images/2025/02/12/190f4c3a6a08412ea615c5eb7099a457-.jpeg?impolicy=dpv,,,convertible,,
90,2012,mitsubishi,pajero,glx,Mitsubshi pajero 2012 fullopshin white color. GCC Calen,Pajero 2012 fullopshin white color GCc Calen car,https://dbz-images.dubizzle.com/images/2025/02/13/f9a9264f21f042e39ad4a1e78ff9ff42-.jpeg?impolicy=dpv,,,,,
91,2009,toyota,land cruiser,gxr,TOYOTA LAND CRUISER 2009 FACELIFTED 2025 WITH INTERIOR AND EXTERIOR GCC IN EXCELLENT CONDITION,Neat and clean in perfect condition model 2009 facelifted 2025 with interior and exterior engine v6 4.0L G.c.c specification in excellent condition With front TV and 360° camera Leather seats Electric seat Headrests DVD'S New rim's and tyre's New steering control Push Start Cool box,https://dbz-images.dubizzle.com/images/2025/02/22/0020f4982b2f451f953ee1f538fc4dd3-.jpeg?impolicy=dpv,,,,,
92,2021,mercedes-benz,gls-class,gls 63 amg,"GLS 63 AMG | From AED 5,805/mo | Up to 3Y Warranty and Service Contract Options","Welcome to Autority Motors! Experience the ultimate in automotive luxury with our exclusive offers in Dubai. Explore our collection of the finest cars from the world's leading brands. Mercedes-Benz GLS 63 AMG Year: 2021 Mileage: 23 900 kms Exterior: Diamond White Interior: Black Regional Specification: Japanese (4.5B Grade) Warranty Includes: • Unlimited claim limit • 24/7 Roadside Assistance • Extended Coverage • Can be extended up to 3 years Up to 3 years Service Contract available, including brake replacement package. VAT Qualifying Vehicle Transparent Pricing – No Hidden Costs Flexible Financing Options For more details: Showroom: +971 56 494 8888 Mohamed (Sales): +971 56 800 8611 Visit: www.autoritymotors.com We are open 7 days per week Monday to Sunday: 10:00 - 21:00",https://dbz-images.dubizzle.com/images/2024/09/04/8088ab349ef24da48371b69155a34991-.jpeg?impolicy=dpv,,23900.0,,,
